date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
4/24/2018,18,6,0,11.6,4,62,2:55 PM,4:18 AM,6:47 AM,8:39 PM,-1,10,11,10,17,7,43,0,1025,18,10,145,11,83706,0
4/25/2018,22,8,0,11.6,4,69,4:04 PM,4:54 AM,6:46 AM,8:40 PM,0,14,15,14,18,13,39,0,1020,22,10,187,11,83706,0
4/26/2018,24,10,0,11.6,5,77,5:13 PM,5:27 AM,6:44 AM,8:41 PM,2,17,17,17,13,0,37,0,1018,24,10,116,9,83706,0
4/27/2018,28,11,0,11.6,5,85,6:20 PM,5:56 AM,6:43 AM,8:42 PM,2,19,19,19,22,11,33,0.3,1009,28,10,137,14,83706,1
4/28/2018,17,11,0,11.6,4,92,7:27 PM,6:25 AM,6:41 AM,8:44 PM,3,13,14,13,21,17,49,0.1,1008,17,10,288,14,83706,1
4/29/2018,13,5,0,11.6,3,100,8:31 PM,6:54 AM,6:40 AM,8:45 PM,1,7,9,7,20,19,58,0.4,1011,13,10,311,14,83706,1
4/30/2018,14,4,0,11.6,3,100,9:36 PM,7:25 AM,6:38 AM,8:46 PM,1,6,9,6,28,15,59,1.1,1013,14,10,321,20,83706,1
5/1/2018,15,3,0,11.6,3,89,10:36 PM,7:58 AM,6:37 AM,8:47 PM,1,7,9,7,23,14,58,0,1012,15,10,317,16,83706,0
5/2/2018,18,4,0,11.6,4,82,11:35 PM,8:34 AM,6:36 AM,8:48 PM,2,10,11,10,16,12,56,0,1014,18,10,303,11,83706,0
5/3/2018,21,6,0,11.6,4,75,No moonrise,9:15 AM,6:34 AM,8:50 PM,2,13,13,13,12,4,49,0,1018,21,10,286,8,83706,0
5/4/2018,25,11,0,11.6,5,68,12:29 AM,10:00 AM,6:33 AM,8:51 PM,3,18,18,18,9,9,40,0,1020,25,10,89,5,83706,0
